id,predicted
0,24
1,24
2,24
3,29
4,27
5,90
6,24
7,21
8,24
9,24
10,24
11,24
12,29
13,24
14,24
15,24
16,20
17,24
18,24
19,24
20,24
21,52
22,18
23,24
24,98
25,24
26,22
27,24
28,24
29,24
30,24
31,24
32,24
33,24
34,24
35,24
36,24
37,24
38,24
39,24
40,24
41,24
42,24
43,24
44,24
45,24
46,24
47,24
48,93
49,24
50,24
51,27
52,24
53,27
54,24
55,17
56,24
57,24
58,24
59,118
60,24
61,24
62,24
63,24
64,24
65,48
66,31
67,24
68,24
69,24
70,24
71,118
72,27
73,24
74,1
75,24
76,24
77,24
78,24
79,24
80,24
81,24
82,24
83,24
84,24
85,24
86,24
87,24
88,24
89,28
90,24
91,24
92,24
93,24
94,24
95,24
96,96
97,24
98,24
99,12
100,53
101,24
102,24
103,24
104,24
105,24
106,24
107,24
108,24
109,24
110,24
111,28
112,24
113,24
114,24
115,24
116,24
117,24
118,24
119,24
120,24
121,54
122,24
123,24
124,24
125,24
126,24
127,24
128,24
129,24
130,24
131,24
132,24
133,24
134,24
135,24
136,24
137,29
138,24
139,24
140,24
141,24
142,24
143,24
144,24
145,24
146,24
147,24
148,24
149,24
150,24
151,24
152,24
153,24
154,24
155,24
156,24
157,29
158,24
159,24
160,24
161,98
162,24
163,24
164,58
165,24
166,24
167,24
168,24
169,24
170,24
171,24
172,24
173,24
174,24
175,28
176,24
177,24
178,24
179,24
180,1
181,24
182,24
183,24
184,24
185,24
186,24
187,24
188,24
189,24
190,24
191,24
192,102
193,24
194,24
195,24
196,24
197,24
198,24
199,24
200,24
201,92
202,24
203,24
204,24
205,24
206,24
207,24
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,28
216,24
217,24
218,24
219,24
220,24
221,24
222,24
223,28
224,24
225,24
226,24
227,27
228,24
229,24
230,24
231,24
232,24
233,24
234,24
235,24
236,24
237,22
238,24
239,24
240,22
241,24
242,9
243,28
244,24
245,24
246,24
247,24
248,24
249,24
250,24
251,24
252,26
253,24
254,24
255,24
256,33
257,24
258,24
259,24
260,24
261,24
262,24
263,24
264,24
265,103
266,24
267,29
268,25
269,24
270,24
271,22
272,24
273,24
274,24
275,24
276,28
277,24
278,24
279,24
280,24
281,24
282,24
283,24
284,24
285,24
286,24
287,28
288,24
289,24
290,24
291,24
292,24
293,29
294,24
295,24
296,24
297,24
298,24
299,24
300,24
301,24
302,2
303,24
304,24
305,24
306,24
307,47
308,24
309,24
310,24
311,24
312,24
313,24
314,24
315,27
316,24
317,24
318,24
319,24
320,93
321,24
322,24
323,24
324,24
325,28
326,24
327,24
328,30
329,24
330,24
331,24
332,3
333,24
334,24
335,24
336,24
337,24
338,24
339,24
340,24
341,24
342,24
343,24
344,24
345,29
346,24
347,24
348,24
349,24
350,24
351,24
352,24
353,24
354,24
355,18
356,32
357,24
358,24
359,24
360,24
361,24
362,24
363,24
364,24
365,24
366,24
367,24
368,24
369,24
370,24
371,24
372,24
373,24
374,100
375,24
376,24
377,24
378,99
379,24
380,24
381,24
382,24
383,24
384,24
385,24
386,24
387,24
388,30
389,24
390,24
391,24
392,24
393,27
394,51
395,24
396,24
397,24
398,24
399,24
400,24
401,24
402,24
403,24
404,24
405,92
406,57
407,24
408,24
409,24
410,24
411,24
412,24
413,24
414,24
415,26
416,24
417,24
418,24
419,24
420,24
421,24
422,24
423,54
424,24
425,24
426,24
427,27
428,24
429,24
430,24
431,24
432,24
433,24
434,24
435,57
436,24
437,24
438,24
439,24
440,24
441,24
442,24
443,24
444,24
445,30
446,24
447,24
448,24
449,24
450,24
451,57
452,24
453,24
454,24
455,24
456,24
457,24
458,24
459,24
460,24
461,100
462,24
463,24
464,24
465,58
466,24
467,24
468,25
469,24
470,24
471,24
472,24
473,23
474,24
475,24
476,21
477,24
478,24
479,24
480,24
481,16
482,24
483,24
484,24
485,24
486,24
487,24
488,24
489,24
490,24
491,24
492,24
493,24
494,24
495,24
496,24
497,24
498,45
499,24
500,24
501,24
502,27
503,92
504,24
505,24
506,24
507,24
508,24
509,24
510,24
511,24
512,57
513,24
514,24
515,15
516,58
517,24
518,24
519,27
520,24
521,56
522,30
523,24
524,24
525,24
526,24
527,24
528,24
529,24
530,24
531,24
532,24
533,35
534,24
535,24
536,24
537,57
538,24
539,24
540,24
541,24
542,24
543,24
544,24
545,57
546,16
547,24
548,28
549,24
550,24
551,24
552,24
553,24
554,24
555,24
556,24
557,24
558,24
559,24
560,24
561,24
562,24
563,24
564,24
565,24
566,24
567,19
568,24
569,24
570,24
571,24
572,24
573,24
574,29
575,45
576,24
577,24
578,24
579,24
580,24
581,24
582,110
583,24
584,22
585,24
586,24
587,24
588,24
589,24
590,24
591,27
592,24
593,24
594,24
595,24
596,24
597,24
598,24
599,27
600,24
601,24
602,61
603,24
604,24
605,24
606,24
607,24
608,24
609,24
610,24
611,24
612,24
613,29
614,24
615,24
616,24
617,19
618,24
619,24
620,24
621,24
622,24
623,24
624,24
625,24
626,3
627,24
628,24
629,24
630,24
631,24
632,24
633,24
634,35
635,24
636,24
637,24
638,24
639,24
640,15
641,24
642,24
643,28
644,24
645,24
646,24
647,24
648,24
649,24
650,24
651,24
652,24
653,24
654,24
655,24
656,21
657,24
658,24
659,27
660,24
661,24
662,24
663,127
664,24
665,24
666,24
667,24
668,24
669,57
670,93
671,24
672,24
673,24
674,24
675,24
676,24
677,24
678,24
679,24
680,28
681,24
682,24
683,53
684,24
685,24
686,24
687,24
688,24
689,24
690,24
691,24
692,24
693,106
694,24
695,24
696,97
697,24
698,24
699,24
700,24
701,107
702,24
703,24
704,24
705,24
706,24
707,24
708,24
709,22
710,24
711,19
712,20
713,24
714,24
715,24
716,24
717,24
718,24
719,24
720,24
721,24
722,24
723,24
724,24
725,24
726,24
727,24
728,24
729,24
730,24
731,24
732,24
733,24
734,24
735,24
736,24
737,24
738,24
739,24
740,89
741,24
742,24
743,24
744,24
745,24
746,24
747,24
748,24
749,24
750,24
751,24
752,24
753,24
754,24
755,24
756,24
757,24
758,29
759,24
760,24
761,23
762,24
763,24
764,24
765,24
766,24
767,24
768,24
769,24
770,24
771,24
772,24
773,24
774,24
775,24
776,24
777,24
778,24
779,24
780,24
781,24
782,24
783,24
784,47
785,24
786,28
787,24
788,24
789,93
790,24
791,24
792,24
793,24
794,21
795,24
796,24
797,24
798,24
799,24
800,24
801,24
802,24
803,20
804,24
805,57
806,24
807,24
808,24
809,24
810,26
811,24
812,24
813,24
814,24
815,24
816,24
817,24
818,24
819,24
820,30
821,24
822,24
823,24
824,24
825,24
826,24
827,24
828,24
829,24
830,24
831,24
832,24
833,24
834,28
835,24
836,24
837,26
838,24
839,24
840,24
841,28
842,24
843,23
844,24
845,27
846,29
847,98
848,24
849,18
850,24
851,24
852,29
853,24
854,24
855,29
856,27
857,24
858,24
859,27
860,22
861,24
862,24
863,53
864,27
865,24
866,122
867,24
868,22
869,24
870,24
871,102
872,24
873,24
874,24
875,27
876,22
877,20
878,54
879,24
880,51
881,24
882,24
883,24
884,24
885,24
886,24
887,24
888,19
889,24
890,24
891,28
892,28
893,117
894,24
895,24
896,24
897,24
898,24
899,24
900,24
901,24
902,24
903,24
904,24
905,24
906,29
907,19
908,24
909,24
910,24
911,24
912,24
913,24
914,24
915,24
916,38
917,24
918,24
919,24
920,24
921,24
922,24
923,24
924,24
925,24
926,24
927,24
928,24
929,24
930,24
931,24
932,93
933,24
934,24
935,24
936,31
937,24
938,28
939,24
940,24
941,24
942,27
943,24
944,24
945,24
946,24
947,24
948,24
949,24
950,24
951,24
952,24
953,24
954,24
955,24
956,24
957,24
958,24
959,24
960,32
961,24
962,24
963,24
964,28
965,24
966,24
967,24
968,24
969,24
970,24
971,57
972,24
973,24
974,29
975,24
976,24
977,24
978,29
979,24
980,24
981,24
982,24
983,24
984,24
985,28
986,24
987,24
988,24
989,92
990,20
991,29
992,24
993,24
994,24
995,24
996,24
997,24
998,18
999,24
1000,24
1001,24
1002,24
1003,57
1004,24
1005,24
1006,24
1007,24
1008,24
1009,24
1010,24
1011,24
1012,24
1013,24
1014,24
1015,24
1016,24
1017,29
1018,18
1019,24
1020,24
1021,24
1022,24
1023,24
1024,24
1025,28
1026,24
1027,24
1028,24
1029,24
1030,31
1031,24
1032,24
1033,24
1034,24
1035,31
1036,24
1037,27
1038,24
1039,56
1040,24
1041,24
1042,24
1043,24
1044,24
1045,116
1046,24
1047,24
1048,24
1049,24
1050,24
1051,24
1052,24
1053,24
1054,49
1055,24
1056,24
1057,48
1058,24
1059,24
1060,24
1061,24
1062,24
1063,24
1064,24
1065,24
1066,24
1067,24
1068,30
1069,24
1070,29
1071,24
1072,24
1073,24
1074,24
1075,22
1076,24
1077,24
1078,24
1079,24
1080,24
1081,24
1082,24
1083,24
1084,24
1085,24
1086,24
1087,24
1088,24
1089,24
1090,24
1091,24
1092,24
1093,24
1094,24
1095,24
1096,24
1097,24
1098,24
1099,24
1100,24
